beta,repeat,generation,unique_ratio,similarity
100.0,0,113,0.384,0.32579956536015364
100.0,0,159,0.54,0.15868742041748907
100.0,0,54,0.808,0.1732770038922847
100.0,0,451,0.208,0.3068650783768655
100.0,0,155,0.496,0.16296522249576786
100.0,0,493,0.276,0.4079057478510038
100.0,0,197,0.412,0.16971575349888324
100.0,0,105,0.618,0.21103372067855117
100.0,0,193,0.332,0.22532388627642794
100.0,0,101,0.572,0.19379229673249557
100.0,0,147,0.578,0.19700593700860414
100.0,0,218,0.312,0.2703748482650218
100.0,0,143,0.558,0.17726861947909808
100.0,0,57,0.724,0.17793306925814315
100.0,0,185,0.41,0.26471675493332075
100.0,0,256,0.422,0.21643526544160135
100.0,0,181,0.386,0.20104763512628748
100.0,0,298,0.394,0.2452839995532653
100.0,0,52,0.738,0.1738202784512325
100.0,0,206,0.364,0.1659059537153415
100.0,0,22,0.842,0.15327272987557397
100.0,0,131,0.512,0.24082958084763503
100.0,0,202,0.376,0.2323125152312184
100.0,0,248,0.266,0.31018881663869075
100.0,0,319,0.408,0.21718817237503618
100.0,0,173,0.436,0.19374812801384556
100.0,0,244,0.35,0.23699192005993913
100.0,0,286,0.416,0.22640503398718634
100.0,0,282,0.35,0.1945253990829868
100.0,0,399,0.338,0.21720808540377073
100.0,0,236,0.322,0.23798175941947577
100.0,0,307,0.354,0.27083444321755074
100.0,0,25,0.824,0.1498016876124108
100.0,0,232,0.372,0.2890381936583541
100.0,0,349,0.406,0.28068389481005973
100.0,0,274,0.378,0.3119419433359614
100.0,0,345,0.368,0.25671926778111803
100.0,0,20,0.836,0.128546083193601
100.0,0,270,0.378,0.24431301359937987
100.0,0,387,0.314,0.21069661544473878
100.0,0,9,0.862,0.12101118696997586
100.0,0,220,0.362,0.20834040286764363
100.0,0,337,0.356,0.26794403640732445
100.0,0,408,0.302,0.2127284783569616
100.0,0,28,0.818,0.14324886258485428
100.0,0,262,0.338,0.19761857484153897
100.0,0,333,0.362,0.24358915259396244
100.0,0,379,0.346,0.2921027057378002
100.0,0,76,0.732,0.21239694644247886
100.0,0,375,0.312,0.22388448109406794
100.0,0,488,0.29,0.24477499756536325
100.0,0,71,0.74,0.1758283542623203
100.0,0,325,0.354,0.22021771399593323
100.0,0,250,0.384,0.20011796609899304
100.0,0,321,0.42,0.28945751127599956
100.0,0,438,0.32,0.24283727522736423
100.0,0,363,0.334,0.301090985138555
100.0,0,434,0.252,0.29290516012130874
100.0,0,79,0.708,0.14015970988626678
100.0,0,476,0.234,0.326492191900821
100.0,0,313,0.418,0.18834161289036513
100.0,0,426,0.318,0.30063360210292267
100.0,0,44,0.134,0.6194230892497461
100.0,0,351,0.356,0.24372833964438642
100.0,0,422,0.31,0.21071434116414037
100.0,0,468,0.25,0.3124557299186226
100.0,0,393,0.356,0.25449720547261173
100.0,0,464,0.248,0.3635261802540345
100.0,0,168,0.416,0.18137006131280758
100.0,0,414,0.286,0.23130334123933186
100.0,0,118,0.454,0.24873914568901856
100.0,0,410,0.386,0.1924086603725027
100.0,0,456,0.26,0.39374035155293846
100.0,0,47,0.802,0.2505678217685286
100.0,0,452,0.208,0.32142166370398506
100.0,0,156,0.486,0.17470273723143107
100.0,0,95,0.662,0.1694994854984184
100.0,0,494,0.264,0.24775806881947593
100.0,0,198,0.488,0.14710942199963636
100.0,0,42,0.15,0.5947117416954155
100.0,0,402,0.332,0.2185575271601758
100.0,0,490,0.252,0.4575763317740508
100.0,0,106,0.59,0.18544408520241265
100.0,0,12,0.874,0.08969114764671171
100.0,0,90,0.62,0.21855509762022426
100.0,0,102,0.626,0.19357068893824528
100.0,0,148,0.52,0.18464673761758238
100.0,0,219,0.386,0.1859236573357269
100.0,0,440,0.304,0.21654368085207618
100.0,0,144,0.478,0.17771046562759793
